Consumption (kwh), Estimated Cost Inc. Tax (p), Start, End
0.064000, 2.09065920000, 2025-05-01T00:00:00+01:00, 2025-05-01T00:30:00+01:00
0.067000, 2.18865885000, 2025-05-01T00:30:00+01:00, 2025-05-01T01:00:00+01:00
0.073000, 2.38465815000, 2025-05-01T01:00:00+01:00, 2025-05-01T01:30:00+01:00
0.056000, 0.77290836000, 2025-05-01T01:30:00+01:00, 2025-05-01T02:00:00+01:00
0.073000, 1.00754125500, 2025-05-01T02:00:00+01:00, 2025-05-01T02:30:00+01:00
1.569000, 21.65523601500, 2025-05-01T02:30:00+01:00, 2025-05-01T03:00:00+01:00
3.096000, 42.73079076000, 2025-05-01T03:00:00+01:00, 2025-05-01T03:30:00+01:00
1.767000, 24.38801914500, 2025-05-01T03:30:00+01:00, 2025-05-01T04:00:00+01:00
0.425000, 5.86582237500, 2025-05-01T04:00:00+01:00, 2025-05-01T04:30:00+01:00
0.731000, 10.08921448500, 2025-05-01T04:30:00+01:00, 2025-05-01T05:00:00+01:00
0.390000, 5.38275465000, 2025-05-01T05:00:00+01:00, 2025-05-01T05:30:00+01:00
0.903000, 12.46314730500, 2025-05-01T05:30:00+01:00, 2025-05-01T06:00:00+01:00
1.546000, 21.33779151000, 2025-05-01T06:00:00+01:00, 2025-05-01T06:30:00+01:00
1.951000, 26.92757518500, 2025-05-01T06:30:00+01:00, 2025-05-01T07:00:00+01:00
0.298000, 4.11297663000, 2025-05-01T07:00:00+01:00, 2025-05-01T07:30:00+01:00
0.535000, 7.38403522500, 2025-05-01T07:30:00+01:00, 2025-05-01T08:00:00+01:00
0.102000, 1.40779737000, 2025-05-01T08:00:00+01:00, 2025-05-01T08:30:00+01:00
0.043000, 1.40466165000, 2025-05-01T08:30:00+01:00, 2025-05-01T09:00:00+01:00
0.067000, 2.18865885000, 2025-05-01T09:00:00+01:00, 2025-05-01T09:30:00+01:00
0.065000, 2.12332575000, 2025-05-01T09:30:00+01:00, 2025-05-01T10:00:00+01:00
0.256000, 8.36263680000, 2025-05-01T10:00:00+01:00, 2025-05-01T10:30:00+01:00
0.162000, 5.29198110000, 2025-05-01T10:30:00+01:00, 2025-05-01T11:00:00+01:00
0.123000, 4.01798565000, 2025-05-01T11:00:00+01:00, 2025-05-01T11:30:00+01:00
1.069000, 34.92054195000, 2025-05-01T11:30:00+01:00, 2025-05-01T12:00:00+01:00
0.380000, 12.41328900000, 2025-05-01T12:00:00+01:00, 2025-05-01T12:30:00+01:00
0.124000, 4.05065220000, 2025-05-01T12:30:00+01:00, 2025-05-01T13:00:00+01:00
0.181000, 5.91264555000, 2025-05-01T13:00:00+01:00, 2025-05-01T13:30:00+01:00
0.199000, 6.50064345000, 2025-05-01T13:30:00+01:00, 2025-05-01T14:00:00+01:00
0.240000, 7.83997200000, 2025-05-01T14:00:00+01:00, 2025-05-01T14:30:00+01:00
0.241000, 7.87263855000, 2025-05-01T14:30:00+01:00, 2025-05-01T15:00:00+01:00
0.232000, 7.57863960000, 2025-05-01T15:00:00+01:00, 2025-05-01T15:30:00+01:00
0.223000, 7.28464065000, 2025-05-01T15:30:00+01:00, 2025-05-01T16:00:00+01:00
0.203000, 6.63130965000, 2025-05-01T16:00:00+01:00, 2025-05-01T16:30:00+01:00
0.224000, 7.31730720000, 2025-05-01T16:30:00+01:00, 2025-05-01T17:00:00+01:00
0.206000, 6.72930930000, 2025-05-01T17:00:00+01:00, 2025-05-01T17:30:00+01:00
0.217000, 7.08864135000, 2025-05-01T17:30:00+01:00, 2025-05-01T18:00:00+01:00
0.300000, 9.79996500000, 2025-05-01T18:00:00+01:00, 2025-05-01T18:30:00+01:00
0.211000, 6.89264205000, 2025-05-01T18:30:00+01:00, 2025-05-01T19:00:00+01:00
0.147000, 4.80198285000, 2025-05-01T19:00:00+01:00, 2025-05-01T19:30:00+01:00
0.096000, 3.13598880000, 2025-05-01T19:30:00+01:00, 2025-05-01T20:00:00+01:00
0.116000, 3.78931980000, 2025-05-01T20:00:00+01:00, 2025-05-01T20:30:00+01:00
0.955000, 31.19655525000, 2025-05-01T20:30:00+01:00, 2025-05-01T21:00:00+01:00
0.188000, 6.14131140000, 2025-05-01T21:00:00+01:00, 2025-05-01T21:30:00+01:00
0.111000, 3.62598705000, 2025-05-01T21:30:00+01:00, 2025-05-01T22:00:00+01:00
0.089000, 2.90732295000, 2025-05-01T22:00:00+01:00, 2025-05-01T22:30:00+01:00
