"RawData"
"Wavelength nm."	"Abs."
300.00	0.051875
301.00	0.051658
302.00	0.050884
303.00	0.050236
304.00	0.048706
305.00	0.047735
306.00	0.048337
307.00	0.048064
308.00	0.047194
309.00	0.046887
310.00	0.045470
311.00	0.046201
312.00	0.045593
313.00	0.044684
314.00	0.043896
315.00	0.043778
316.00	0.043807
317.00	0.042213
318.00	0.042255
319.00	0.042640
320.00	0.041690
321.00	0.042260
322.00	0.041525
323.00	0.041251
324.00	0.041561
325.00	0.040321
326.00	0.041189
327.00	0.039882
328.00	0.040425
329.00	0.040954
330.00	0.040881
331.00	0.040059
332.00	0.039796
333.00	0.039978
334.00	0.039885
335.00	0.039802
336.00	0.039699
337.00	0.039936
338.00	0.040296
339.00	0.039348
340.00	0.038568
341.00	0.039547
342.00	0.038034
343.00	0.039432
344.00	0.039146
345.00	0.038655
346.00	0.039287
347.00	0.038779
348.00	0.039363
349.00	0.038469
350.00	0.038789
351.00	0.038778
352.00	0.038803
353.00	0.038216
354.00	0.038211
355.00	0.037957
356.00	0.037898
357.00	0.038047
358.00	0.037881
359.00	0.036897
360.00	0.037769
361.00	0.037493
362.00	0.038053
363.00	0.037682
364.00	0.037372
365.00	0.036985
366.00	0.037423
367.00	0.037540
368.00	0.037030
369.00	0.037065
370.00	0.037684
371.00	0.038005
372.00	0.036835
373.00	0.036368
374.00	0.035910
375.00	0.035951
376.00	0.036178
377.00	0.036175
378.00	0.036306
379.00	0.036314
380.00	0.036403
381.00	0.036702
382.00	0.036668
383.00	0.037079
384.00	0.036744
385.00	0.037325
386.00	0.037604
387.00	0.037700
388.00	0.037987
389.00	0.038328
390.00	0.037862
391.00	0.038619
392.00	0.038998
393.00	0.038969
394.00	0.039503
395.00	0.039552
396.00	0.040041
397.00	0.040604
398.00	0.040603
399.00	0.040831
400.00	0.041414
401.00	0.041841
402.00	0.042141
403.00	0.042521
404.00	0.043219
405.00	0.043252
406.00	0.043796
407.00	0.043763
408.00	0.044649
409.00	0.045132
410.00	0.045415
411.00	0.046135
412.00	0.046474
413.00	0.046439
414.00	0.046871
415.00	0.047605
416.00	0.048064
417.00	0.047881
418.00	0.047873
419.00	0.048525
420.00	0.048579
421.00	0.049490
422.00	0.049390
423.00	0.049868
424.00	0.050131
425.00	0.050255
426.00	0.051130
427.00	0.051638
428.00	0.051833
429.00	0.052201
430.00	0.052442
431.00	0.053067
432.00	0.053217
433.00	0.053883
434.00	0.054157
435.00	0.054286
436.00	0.054375
437.00	0.054656
438.00	0.055314
439.00	0.055499
440.00	0.055324
441.00	0.055816
442.00	0.056047
443.00	0.055931
444.00	0.055862
445.00	0.055783
446.00	0.055920
447.00	0.056148
448.00	0.056047
449.00	0.055687
450.00	0.055612
451.00	0.055577
452.00	0.055266
453.00	0.055406
454.00	0.055034
455.00	0.054907
456.00	0.054387
457.00	0.054224
458.00	0.053701
459.00	0.053708
460.00	0.053168
461.00	0.052895
462.00	0.052211
463.00	0.051858
464.00	0.051503
465.00	0.050548
466.00	0.050499
467.00	0.049747
468.00	0.049049
469.00	0.048268
470.00	0.047456
471.00	0.046905
472.00	0.046224
473.00	0.045445
474.00	0.044361
475.00	0.043635
476.00	0.042514
477.00	0.041880
478.00	0.040823
479.00	0.039985
480.00	0.038415
481.00	0.037712
482.00	0.036885
483.00	0.035553
484.00	0.034413
485.00	0.033373
486.00	0.032329
487.00	0.031276
488.00	0.030317
489.00	0.029113
490.00	0.028049
491.00	0.027062
492.00	0.025973
493.00	0.025354
494.00	0.024225
495.00	0.023329
496.00	0.022600
497.00	0.021698
498.00	0.021070
499.00	0.020277
500.00	0.019568
501.00	0.019073
502.00	0.018620
503.00	0.018045
504.00	0.017418
505.00	0.017084
506.00	0.016572
507.00	0.016319
508.00	0.016332
509.00	0.015858
510.00	0.015414
511.00	0.015225
512.00	0.015190
513.00	0.015025
514.00	0.014743
515.00	0.014676
516.00	0.014605
517.00	0.014575
518.00	0.014486
519.00	0.014476
520.00	0.014216
521.00	0.014213
522.00	0.014051
523.00	0.014247
524.00	0.014374
525.00	0.013999
526.00	0.014155
527.00	0.014229
528.00	0.014088
529.00	0.013958
530.00	0.014143
531.00	0.013718
532.00	0.014022
533.00	0.013779
534.00	0.013814
535.00	0.013933
536.00	0.013826
537.00	0.013380
538.00	0.013277
539.00	0.013612
540.00	0.013434
541.00	0.013275
542.00	0.013319
543.00	0.013092
544.00	0.013241
545.00	0.013327
546.00	0.013277
547.00	0.013319
548.00	0.013224
549.00	0.013322
550.00	0.013182
551.00	0.013260
552.00	0.013219
553.00	0.012815
554.00	0.013046
555.00	0.013173
556.00	0.012956
557.00	0.012921
558.00	0.012822
559.00	0.013298
560.00	0.013124
561.00	0.013083
562.00	0.012878
563.00	0.012684
564.00	0.012748
565.00	0.012791
566.00	0.012758
567.00	0.012664
568.00	0.012403
569.00	0.012569
570.00	0.012559
571.00	0.012520
572.00	0.012606
573.00	0.012604
574.00	0.012405
575.00	0.012583
576.00	0.012493
577.00	0.012707
578.00	0.012296
579.00	0.012384
580.00	0.012219
581.00	0.012457
582.00	0.012403
583.00	0.012210
584.00	0.012170
585.00	0.012025
586.00	0.012180
587.00	0.012131
588.00	0.012277
589.00	0.012101
590.00	0.012340
591.00	0.011961
592.00	0.012068
593.00	0.012189
594.00	0.011896
595.00	0.012065
596.00	0.012067
597.00	0.011913
598.00	0.011966
599.00	0.012037
600.00	0.011952
601.00	0.011797
602.00	0.011815
