"RawData"
"Wavelength nm."	"Abs."
200.00	 
201.00	 
202.00	 
203.00	 
204.00	 
205.00	 
206.00	 
207.00	 
208.00	 
209.00	 
210.00	 
211.00	 
212.00	 
213.00	 
214.00	 
215.00	 
216.00	 
217.00	 
218.00	 
219.00	 
220.00	 
221.00	 
222.00	 
223.00	 
224.00	 
225.00	 
226.00	 
227.00	 
228.00	 
229.00	 
230.00	 
231.00	 
232.00	 
233.00	 
234.00	 
235.00	 
236.00	 
237.00	 
238.00	 
239.00	 
240.00	 
241.00	 
242.00	 
243.00	 
244.00	 
245.00	 
246.00	 
247.00	 
248.00	 
249.00	 
250.00	0.607327
251.00	0.590138
252.00	0.566409
253.00	0.539516
254.00	0.510304
255.00	0.480538
256.00	0.450268
257.00	0.422823
258.00	0.397225
259.00	0.372788
260.00	0.353322
261.00	0.335488
262.00	0.319507
263.00	0.308757
264.00	0.297943
265.00	0.291537
266.00	0.286310
267.00	0.283060
268.00	0.281898
269.00	0.281745
270.00	0.282885
271.00	0.286616
272.00	0.291300
273.00	0.297287
274.00	0.303706
275.00	0.312571
276.00	0.322440
277.00	0.334029
278.00	0.345867
279.00	0.359998
280.00	0.375474
281.00	0.392546
282.00	0.410377
283.00	0.430250
284.00	0.451489
285.00	0.474427
286.00	0.499186
287.00	0.522930
288.00	0.549554
289.00	0.577876
290.00	0.608207
291.00	0.638906
292.00	0.674336
293.00	0.706575
294.00	0.742721
295.00	0.777189
296.00	0.813722
297.00	0.848860
298.00	0.884129
299.00	0.921766
300.00	0.956487
301.00	0.989301
302.00	1.024004
303.00	1.059247
304.00	1.095519
305.00	1.130625
306.00	1.164877
307.00	1.192782
308.00	1.216926
309.00	1.238683
310.00	1.257241
311.00	1.274870
312.00	1.286728
313.00	1.291762
314.00	1.296110
315.00	1.297488
316.00	1.304288
317.00	1.314000
318.00	1.329393
319.00	1.340524
320.00	1.343508
321.00	1.338414
322.00	1.322129
323.00	1.299030
324.00	1.276430
325.00	1.253234
326.00	1.232703
327.00	1.216859
328.00	1.206815
329.00	1.198986
330.00	1.196752
331.00	1.193575
332.00	1.193238
333.00	1.191028
334.00	1.191168
335.00	1.185705
336.00	1.177449
337.00	1.160737
338.00	1.140207
339.00	1.111824
340.00	1.076720
341.00	1.036367
342.00	0.985575
343.00	0.929899
344.00	0.868719
345.00	0.805936
346.00	0.741511
347.00	0.676316
348.00	0.613978
349.00	0.556518
350.00	0.503244
351.00	0.455564
352.00	0.413618
353.00	0.378481
354.00	0.348508
355.00	0.323479
356.00	0.303065
357.00	0.287042
358.00	0.275683
359.00	0.267943
360.00	0.263535
361.00	0.259933
