"RawData"
"Wavelength nm."	"Abs."
300.00	0.235085
301.00	0.231513
302.00	0.229562
303.00	0.226819
304.00	0.223400
305.00	0.220870
306.00	0.220276
307.00	0.218219
308.00	0.215003
309.00	0.212284
310.00	0.209823
311.00	0.207273
312.00	0.204596
313.00	0.201674
314.00	0.199406
315.00	0.196869
316.00	0.194444
317.00	0.190879
318.00	0.189474
319.00	0.187212
320.00	0.185756
321.00	0.183089
322.00	0.180861
323.00	0.179735
324.00	0.177432
325.00	0.175652
326.00	0.175630
327.00	0.173726
328.00	0.173662
329.00	0.172011
330.00	0.172711
331.00	0.171846
332.00	0.172719
333.00	0.171664
334.00	0.172528
335.00	0.172141
336.00	0.172779
337.00	0.173500
338.00	0.173982
339.00	0.173764
340.00	0.174389
341.00	0.173610
342.00	0.174542
343.00	0.174901
344.00	0.176258
345.00	0.176021
346.00	0.176080
347.00	0.177356
348.00	0.177999
349.00	0.177239
350.00	0.177653
351.00	0.178978
352.00	0.179462
353.00	0.179394
354.00	0.179971
355.00	0.180598
356.00	0.181327
357.00	0.182205
358.00	0.183106
359.00	0.183086
360.00	0.185207
361.00	0.185782
362.00	0.187189
363.00	0.188018
364.00	0.189430
365.00	0.190542
366.00	0.192215
367.00	0.194007
368.00	0.195503
369.00	0.197023
370.00	0.199027
371.00	0.201323
372.00	0.201656
373.00	0.204944
374.00	0.206988
375.00	0.209611
376.00	0.212303
377.00	0.214433
378.00	0.216819
379.00	0.219852
380.00	0.222416
381.00	0.225905
382.00	0.228644
383.00	0.232574
384.00	0.235379
385.00	0.239174
386.00	0.242665
387.00	0.246714
388.00	0.250983
389.00	0.254349
390.00	0.258735
391.00	0.262944
392.00	0.267101
393.00	0.271967
394.00	0.276541
395.00	0.281191
396.00	0.285512
397.00	0.290472
398.00	0.295150
399.00	0.299935
400.00	0.305591
401.00	0.310229
402.00	0.316357
403.00	0.321781
404.00	0.327543
405.00	0.333547
406.00	0.338952
407.00	0.344301
408.00	0.350735
409.00	0.356640
410.00	0.362969
411.00	0.369144
412.00	0.375434
413.00	0.381658
414.00	0.387536
415.00	0.394135
416.00	0.400577
417.00	0.407105
418.00	0.413149
419.00	0.419170
420.00	0.425146
421.00	0.431786
422.00	0.437925
423.00	0.443660
424.00	0.449451
425.00	0.454999
426.00	0.461465
427.00	0.466658
428.00	0.472290
429.00	0.477624
430.00	0.482867
431.00	0.488602
432.00	0.493298
433.00	0.498617
434.00	0.502774
435.00	0.507478
436.00	0.511783
437.00	0.515575
438.00	0.519551
439.00	0.522698
440.00	0.525627
441.00	0.528419
442.00	0.530999
443.00	0.533249
444.00	0.534437
445.00	0.535449
446.00	0.536613
447.00	0.536789
448.00	0.537717
449.00	0.537159
450.00	0.536140
451.00	0.535111
452.00	0.533424
453.00	0.531687
454.00	0.528909
455.00	0.526266
456.00	0.522669
457.00	0.519341
458.00	0.514868
459.00	0.510526
460.00	0.506151
461.00	0.500769
462.00	0.495577
463.00	0.489324
464.00	0.483131
465.00	0.476320
466.00	0.469857
467.00	0.461740
468.00	0.453901
469.00	0.445418
470.00	0.436845
471.00	0.427515
472.00	0.418253
473.00	0.408157
474.00	0.397419
475.00	0.386622
476.00	0.374879
477.00	0.363211
478.00	0.350758
479.00	0.337977
480.00	0.324561
481.00	0.311712
482.00	0.297798
483.00	0.284158
484.00	0.270490
485.00	0.256436
486.00	0.242048
487.00	0.228576
488.00	0.214309
489.00	0.200871
490.00	0.187777
491.00	0.175025
492.00	0.162113
493.00	0.149475
494.00	0.137584
495.00	0.125945
496.00	0.114882
497.00	0.105323
498.00	0.096255
499.00	0.087008
500.00	0.078524
501.00	0.070510
502.00	0.063531
503.00	0.057135
504.00	0.051170
505.00	0.046069
506.00	0.041427
507.00	0.037289
508.00	0.033605
509.00	0.030141
510.00	0.027190
511.00	0.024869
512.00	0.022824
513.00	0.021177
514.00	0.019258
515.00	0.018078
516.00	0.017027
517.00	0.016306
518.00	0.015360
519.00	0.014575
520.00	0.013853
521.00	0.013597
522.00	0.012904
523.00	0.012707
524.00	0.012499
525.00	0.012065
526.00	0.012038
527.00	0.012097
528.00	0.011718
529.00	0.011637
530.00	0.011833
531.00	0.011442
532.00	0.011718
533.00	0.011220
534.00	0.011265
535.00	0.011363
536.00	0.011354
537.00	0.010829
538.00	0.010635
539.00	0.010963
540.00	0.010863
541.00	0.010627
542.00	0.010699
543.00	0.010409
544.00	0.010630
545.00	0.010646
546.00	0.010416
547.00	0.010438
548.00	0.010757
549.00	0.010732
550.00	0.010494
551.00	0.010387
552.00	0.010432
553.00	0.010381
554.00	0.010410
555.00	0.010682
556.00	0.010400
557.00	0.010244
558.00	0.010467
559.00	0.010512
560.00	0.010464
561.00	0.010421
562.00	0.010227
563.00	0.010129
564.00	0.010244
565.00	0.010240
566.00	0.010371
567.00	0.010112
568.00	0.009931
569.00	0.010213
570.00	0.009972
571.00	0.010037
572.00	0.010153
573.00	0.010057
574.00	0.010081
575.00	0.010184
576.00	0.010104
577.00	0.010255
578.00	0.010111
579.00	0.010191
580.00	0.010112
581.00	0.010091
582.00	0.010100
583.00	0.010143
584.00	0.009943
585.00	0.009857
586.00	0.009925
587.00	0.009921
588.00	0.009898
589.00	0.009835
590.00	0.009937
591.00	0.010006
592.00	0.009914
593.00	0.010072
594.00	0.009691
595.00	0.009735
596.00	0.009891
597.00	0.009833
598.00	0.009746
599.00	0.009700
600.00	0.009789
601.00	0.009661
602.00	0.009668
603.00	0.009737
604.00	0.009792
605.00	0.009888
606.00	0.009694
607.00	0.009796
608.00	0.009759
609.00	0.009757
610.00	0.009663
611.00	0.009591
612.00	0.009712
613.00	0.009536
614.00	0.009490
615.00	0.009679
616.00	0.009650
617.00	0.009816
618.00	0.009543
619.00	0.009567
620.00	0.009721
621.00	0.009485
622.00	0.009747
623.00	0.009566
624.00	0.009861
625.00	0.009493
626.00	0.009887
627.00	0.009674
628.00	0.009622
629.00	0.009534
630.00	0.009667
631.00	0.009476
632.00	0.009666
633.00	0.009743
634.00	0.009783
635.00	0.009680
636.00	0.009601
637.00	0.009613
638.00	0.009739
639.00	0.009798
640.00	0.009525
641.00	0.009638
642.00	0.009628
643.00	0.009687
644.00	0.009656
645.00	0.009485
646.00	0.009792
647.00	0.009462
648.00	0.009431
649.00	0.009292
