"RawData"
"Wavelength nm."	"Abs."
200.00	 
201.00	 
202.00	 
203.00	 
204.00	 
205.00	 
206.00	 
207.00	 
208.00	 
209.00	 
210.00	 
211.00	 
212.00	 
213.00	 
214.00	 
215.00	 
216.00	 
217.00	 
218.00	 
219.00	 
220.00	 
221.00	 
222.00	 
223.00	 
224.00	 
225.00	 
226.00	 
227.00	 
228.00	 
229.00	 
230.00	 
231.00	 
232.00	 
233.00	 
234.00	 
235.00	 
236.00	 
237.00	 
238.00	 
239.00	 
240.00	 
241.00	 
242.00	 
243.00	 
244.00	 
245.00	 
246.00	 
247.00	 
248.00	 
249.00	 
250.00	3.012454
251.00	2.934102
252.00	2.860760
253.00	2.745860
254.00	2.618893
255.00	2.489981
256.00	2.342834
257.00	2.207279
258.00	2.075887
259.00	1.961316
260.00	1.857236
261.00	1.769952
262.00	1.691860
263.00	1.630943
264.00	1.582310
265.00	1.542212
266.00	1.520259
267.00	1.502694
268.00	1.495712
269.00	1.496041
270.00	1.504289
271.00	1.519301
272.00	1.543880
273.00	1.572237
274.00	1.608253
275.00	1.653473
276.00	1.699732
277.00	1.760790
278.00	1.822580
279.00	1.896122
280.00	1.975085
281.00	2.060873
282.00	2.155271
283.00	2.253989
284.00	2.355835
285.00	2.462089
286.00	2.575041
287.00	2.686629
288.00	2.797515
289.00	2.908091
290.00	3.014184
291.00	3.106205
292.00	3.196489
293.00	3.270963
294.00	3.322907
295.00	3.358131
296.00	3.386799
297.00	3.430764
298.00	3.460656
299.00	3.461116
300.00	3.471988
301.00	3.467999
302.00	3.459977
303.00	3.494043
304.00	3.521548
305.00	3.487245
306.00	3.519503
307.00	3.559266
308.00	3.546367
309.00	3.564302
310.00	3.560078
311.00	3.562899
312.00	3.572838
313.00	3.545015
314.00	3.569739
315.00	3.562621
316.00	3.565955
317.00	3.575599
318.00	3.548116
319.00	3.584085
320.00	3.592474
321.00	3.574962
322.00	3.585095
323.00	3.571442
324.00	3.583409
325.00	3.584164
326.00	3.574215
327.00	3.589063
328.00	3.600412
329.00	3.606140
330.00	3.580368
331.00	3.567469
332.00	3.550970
333.00	3.554751
334.00	3.559770
335.00	3.599906
336.00	3.569147
337.00	3.583253
338.00	3.580111
339.00	3.548952
340.00	3.545025
341.00	3.566826
342.00	3.561695
343.00	3.540215
344.00	3.534464
345.00	3.481330
346.00	3.390595
347.00	3.257121
348.00	3.086194
349.00	2.855123
350.00	2.618458
351.00	2.404998
352.00	2.195329
353.00	2.012880
354.00	1.863844
355.00	1.735481
356.00	1.633530
357.00	1.554569
358.00	1.493964
359.00	1.455667
360.00	1.429148
361.00	1.412684
